time,job,orginal_node,to_node
1578177799.674656,job1,node-1.mig.shield-pg0.utah.cloudlab.us,node-3.mig.shield-pg0.utah.cloudlab.us
1578177802.5349672,job2,node-1.mig.shield-pg0.utah.cloudlab.us,
1578177832.698994,job4,node-2.mig.shield-pg0.utah.cloudlab.us,
1578177832.7767122,job5,node-4.mig.shield-pg0.utah.cloudlab.us,
1578177891.2359834,job3,node-1.mig.shield-pg0.utah.cloudlab.us,node-2.mig.shield-pg0.utah.cloudlab.us
1578177892.3472774,job7,node-2.mig.shield-pg0.utah.cloudlab.us,
1578177892.4469047,job6,node-4.mig.shield-pg0.utah.cloudlab.us,
1578177922.3901625,job8,node-1.mig.shield-pg0.utah.cloudlab.us,node-2.mig.shield-pg0.utah.cloudlab.us
1578177923.4986904,job9,node-2.mig.shield-pg0.utah.cloudlab.us,
1578177923.5970752,job10,node-3.mig.shield-pg0.utah.cloudlab.us,
1578177923.6903331,job12,node-3.mig.shield-pg0.utah.cloudlab.us,
1578177923.791061,job13,node-4.mig.shield-pg0.utah.cloudlab.us,
1578177953.2504702,job16,node-1.mig.shield-pg0.utah.cloudlab.us,node-3.mig.shield-pg0.utah.cloudlab.us
1578177954.3656905,job11,node-2.mig.shield-pg0.utah.cloudlab.us,
1578177983.923138,job15,node-1.mig.shield-pg0.utah.cloudlab.us,node-3.mig.shield-pg0.utah.cloudlab.us
1578177985.0424006,job17,node-3.mig.shield-pg0.utah.cloudlab.us,
1578178015.5024261,job14,node-4.mig.shield-pg0.utah.cloudlab.us,node-3.mig.shield-pg0.utah.cloudlab.us
1578178047.056256,job11,node-2.mig.shield-pg0.utah.cloudlab.us,node-1.mig.shield-pg0.utah.cloudlab.us
1578178078.4918525,job13,node-4.mig.shield-pg0.utah.cloudlab.us,node-3.mig.shield-pg0.utah.cloudlab.us
1578178160.3772364,job19,node-1.mig.shield-pg0.utah.cloudlab.us,node-2.mig.shield-pg0.utah.cloudlab.us
1578178191.8080812,job10,node-3.mig.shield-pg0.utah.cloudlab.us,node-4.mig.shield-pg0.utah.cloudlab.us
1578178252.4799297,job23,node-2.mig.shield-pg0.utah.cloudlab.us,node-1.mig.shield-pg0.utah.cloudlab.us
1578178313.2667663,job20,node-1.mig.shield-pg0.utah.cloudlab.us,node-3.mig.shield-pg0.utah.cloudlab.us
1578178343.6857812,job27,node-2.mig.shield-pg0.utah.cloudlab.us,node-4.mig.shield-pg0.utah.cloudlab.us
1578178405.47988,job18,node-4.mig.shield-pg0.utah.cloudlab.us,node-1.mig.shield-pg0.utah.cloudlab.us
1578178467.1400783,job21,node-1.mig.shield-pg0.utah.cloudlab.us,node-2.mig.shield-pg0.utah.cloudlab.us
1578178527.9376721,job24,node-1.mig.shield-pg0.utah.cloudlab.us,node-2.mig.shield-pg0.utah.cloudlab.us
1578178559.508884,job25,node-1.mig.shield-pg0.utah.cloudlab.us,node-3.mig.shield-pg0.utah.cloudlab.us
1578178591.0753722,job28,node-1.mig.shield-pg0.utah.cloudlab.us,node-3.mig.shield-pg0.utah.cloudlab.us
